[20:52:53] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:53] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:53] [DEBUG] [app.py:164] 显示设置对话框
[20:52:53] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:54] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:54] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:54] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:54] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:54] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:54] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:54] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:54] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:54] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:54] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:55] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:55] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:55] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:55] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:55] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:55] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:55] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:55] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:55] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:55] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:56] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:56] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:56] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:56] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:56] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:56] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:56] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:56] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:56] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:56] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:57] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:57] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:57] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:57] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:57] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:57] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:57] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:57] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:57] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:57] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:58] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:58] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:58] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:58] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:58] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:58] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:58] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:58] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:58] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:58] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:59] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:59] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:59] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:59] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:59] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:59] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:59] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:59] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:59] [DEBUG] [app.py:169] 设置被用户接受
[20:52:59] [INFO] [app.py:113] 保存设置: 工作=1分钟, 休息=5分钟
[20:52:59] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:53:00] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:53:00] [DEBUG] [app.py:55] 桌面锁定状态: False
